price,age
15.0,4
6.0,3
15.0,5
15.0,4
13.0,5
10.0,5
10.0,4
12.0,3
10.0,5
15.0,3
15.0,3
29.0,5
15.0,4
17.0,6
19.0,7
35.0,9
13.0,6
19.0,7
45.0,8
16.0,8
15.0,5
29.0,5
35.0,6
35.0,6
40.0,6
42.0,9
75.0,8
20.0,7
28.0,7
35.0,7
20.0,5
85.0,10
11.0,5
17.0,6
20.0,7
30.0,6
40.0,7
27.0,8
13.0,5
47.0,7
18.0,4
13.0,1
15.0,2
26.0,4
10.0,3
30.0,4
25.0,2
16.0,1
25.0,1
13.0,2
15.0,2
80.0,2
30.0,1
27.0,4
12.0,2
12.0,1
10.0,1
28.0,4
20.0,2
14.0,1
30.0,3
12.0,1
18.0,2
18.0,2
10.0,1
24.0,7
12.0,6
20.0,9
18.0,6
30.0,9
40.0,8
12.0,6
15.0,7
28.0,6
16.0,7
15.0,6
25.0,6
50.0,7
14.0,6
11.0,5
12.0,6
14.0,6
10.0,7
25.0,6
20.0,8
18.0,5
55.0,5
14.0,4
60.0,5
55.0,5
65.0,5
19.0,6
15.0,5
40.0,7
20.0,5
13.0,4
80.0,7
45.0,5
50.0,7
25.0,5
30.0,6
38.0,4
22.0,5
55.0,7
45.0,6
50.0,5
65.0,5
19.0,6
42.0,5
19.0,5
75.0,8
45.0,13
15.0,5
18.0,6
11.0,4
38.0,6
39.0,6
32.0,7
50.0,5
38.0,4
42.0,7
10.0,3
25.0,5
18.0,4
9.0,3
12.0,4
22.0,4
14.0,3
35.0,5
15.0,3
18.0,4
19.0,3
30.0,5
17.0,4
35.0,5
16.0,4
43.0,7
40.0,5
18.0,3
19.0,4
16.0,4
75.0,6
40.0,4
44.0,5
75.0,5
300.0,6
65.0,7
60.0,7
96.0,7
59.0,8
32.0,4
60.0,7
43.0,6
42.0,7
225.0,7
48.0,7
70.0,7
80.0,7
46.0,7
80.0,7
64.0,7
75.0,7
18.0,4
28.0,5
10.0,2
70.0,5
20.0,5
45.0,4
14.0,3
14.0,3
29.0,4
20.0,4
25.0,3
22.0,5
28.0,5
20.0,5
24.0,3
19.0,2
28.0,3
16.0,3
14.0,2
13.0,3
15.0,2
30.0,7
35.0,5
20.0,4
17.0,3
24.0,3
55.0,4
45.0,6
45.0,4
24.0,7
25.0,3
65.0,7
19.0,3
28.0,4
27.0,5
25.0,9
20.0,3
21.0,3
55.0,5
34.0,8
30.0,6
29.0,5
45.0,4
30.0,4
24.0,3
20.0,6
30.0,4
32.0,6
35.0,5
33.0,5
45.0,4
45.0,3
35.0,3
32.0,4
45.0,4
20.0,4
20.0,6
35.0,5
42.0,7
35.0,7
92.0,8
82.0,8
25.0,8
20.0,7
39.0,7
29.0,6
20.0,7
25.0,6
30.0,8
27.0,6
17.0,5
40.0,7
42.0,6
52.0,9
21.0,7
17.0,6
28.0,8
24.0,5
21.0,8
34.0,7
13.0,7
11.0,5
12.0,11
12.0,13
8.0,11
6.0,10
18.0,12
13.0,12
12.0,12
12.0,11
10.0,11
18.0,11
55.0,12
27.0,12
13.0,11
13.0,11
24.0,12
14.0,12
20.0,9
57.0,10
18.0,8
20.0,8
20.0,8
24.0,8
30.0,8
13.0,8
44.0,9
12.0,7
18.0,7
28.0,8
50.0,8
24.0,8
50.0,8
18.0,9
40.0,8
70.0,8
38.0,8
45.0,8
150.0,11
45.0,7
55.0,7
30.0,6
26.0,8
52.0,8
24.0,6
65.0,7
38.0,8
35.0,7
24.0,7
45.0,7
45.0,7
15.0,5
20.0,5
36.0,5
34.0,6
35.0,7
50.0,13
125.0,10
30.0,7
65.0,8
150.0,7
9.0,16
18.0,21
10.0,15
22.0,17
14.0,16
14.0,16
10.0,16
95.0,21
25.0,16
45.0,17
15.0,16
12.0,17
9.0,16
8.0,16
25.0,16
12.0,16
35.0,17
15.0,15
32.0,17
35.0,17
